,WS,WD,TI,a1,a2,a3,a4,b1,b2,P_WF,P_T00,P_T01,P_T02,P_T03,P_T04,P_T05,P_T06,P_T07,P_T08,P_T09,P_T10,P_T11,P_T12,P_T13,P_T14,P_T15,P_T16,P_T17,P_T18,P_T19,P_T20,P_T21,P_T22,P_T23,P_T24,P_T25,P_T26,P_T27,P_T28,P_T29,P_T30,P_T31,P_T32,P_T33,P_T34,P_T35,P_T36,P_T37,P_T38,P_T39,P_T40,P_T41,P_T42,P_T43,P_T44,P_T45,P_T46,P_T47,P_T48,P_T49,P_T50,P_T51,P_T52,P_T53,P_T54,P_T55,P_T56,P_T57,P_T58,P_T59,P_T60,P_T61,P_T62,P_T63,P_T64,P_T65,P_T66,P_T67,P_T68,P_T69,P_T70,P_T71,P_T72,P_T73,P_T74,P_T75,P_T76,P_T77,P_T78,P_T79
0,8.0,270.0,0.07,0.30697091657810877,0.7427510254298848,-0.085629178293894909,0.093261942681291954,18.155264105167369,0.96430796740795799,10168499.770057645,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,236454.34615053807,236454.34615053807,236454.34615053807,236454.34615053807,236454.34615053807,236580.7942701159,236580.7942701159,236580.7942701159,103620.65868944835,103620.65868944835,103620.65868944835,103620.65868944835,103620.65868944835,103646.80026360943,103646.80026360943,103646.80026360943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94562.260994228986,94562.260994228986,94562.260994228986,94640.199606471084,94640.199606471084,94725.145364090873,94641.053369873378,94641.053369873378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69013.16786699713,69013.16786699713,69083.740687664293,69036.890533811675,69036.890533811675,69136.288815138221,69103.34264156346,69103.34264156346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78195.929245121952,78246.860688937682,78214.708368440057,78251.951743081983,78251.951743081983,78278.231517325519,78265.255008968161,78316.151237386759
1,8.0,270.0,0.07,0.41968678057669356,0.71131428094209614,-0.09508797054836815,0.18448675854935065,11.433349181143274,1.0259726339513651,12943151.268186603,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,311893.48777614662,311893.48777614662,311893.48777614662,311893.48777614662,311893.48777614662,312104.45242903702,312104.45242903702,312104.45242903702,182749.81708577342,182749.81708577342,182749.81708577342,182749.81708577342,182749.81708577342,182786.59749819577,182786.59749819577,182786.59749819577,121888.33238952933,121888.33238952933,121888.33238952933,121888.33238952933,121888.33238952933,122096.36622314432,122028.65737024142,122028.65737024142,85937.080015799322,85937.080015799322,85937.080015799322,86071.499336224413,86071.499336224413,86008.284160113079,85980.065889445337,85980.065889445337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115650.80549090571,115650.80549090571,115728.68879530013,115679.76392476109,115679.76392476109,115744.54358665706,115733.5585011465,115733.5585011465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110487.72232886091,110487.72232886091,110514.57895176098,110496.0759514447,110564.18959544851,110515.36888501968,110578.39672551036,110578.39672551036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.0,270.0,0.07,0.52880316963456908,0.73058148160191272,-0.12044428314001018,0.18545123376302966,18.226605419271316,1.0805804773686005,24934690.423219495,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,472097.08818505268,472097.08818505268,472097.08818505268,472097.08818505268,472097.08818505268,472303.93524508557,472303.93524508557,472303.93524508557,376827.94909395243,376827.94909395243,376827.94909395243,376827.94909395243,376827.94909395243,376867.41356187058,376867.41356187058,376867.41356187058,312690.38184677291,312690.38184677291,312690.38184677291,312690.38184677291,312690.38184677291,312953.47265890928,312914.58587366925,312914.58587366925,268872.93772576109,268872.93772576109,268872.93772576109,269027.86098207801,269027.86098207801,268940.57191357738,268927.64598669374,268927.64598669374,240535.05563776003,240535.05563776003,240535.05563776003,240590.24298189412,240590.24298189412,240567.5947717193,240559.90667228162,240716.11074132146,216910.63194561197,216910.63194561197,217066.8145128841,216937.6900644445,216937.6900644445,217084.25150593917,217079.13681001935,216981.07976214759,196707.08951105212,196707.08951105212,196767.08724732589,196722.09572352198,196877.52419955679,196776.7687404122,196773.13645380014,196898.18767491216,179096.9295227644,179096.9295227644,179128.42739222743,179105.71466178761,179166.90572372192,179133.68760067396,179285.28905373128,179177.77724921552,163518.5705495096,163671.56608449569,163537.27590647145,163676.77396150929,163556.64397514568,163692.82501063254,163599.72499041556,163715.36897770897
3,8.0,270.0,0.07,0.4955137104657712,0.97520007820528498,-0.11805307426343864,0.16217155628172442,16.975607254685332,1.0369764148722522,25486169.432369538,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,478466.64699507557,478466.64699507557,478466.64699507557,478466.64699507557,478466.64699507557,478669.01349359541,478669.01349359541,478669.01349359541,383982.29120820347,383982.29120820347,383982.29120820347,383982.29120820347,383982.29120820347,384021.18123108248,384021.18123108248,384021.18123108248,321263.34152617876,321263.34152617876,321263.34152617876,321263.34152617876,321263.34152617876,321520.46035086073,321483.57257556764,321483.57257556764,275720.8141649405,275720.8141649405,275720.8141649405,275872.98398174904,275872.98398174904,275787.22342568054,275774.90460145852,275774.90460145852,247870.26724982433,247870.26724982433,247870.26724982433,247924.49114246143,247924.49114246143,247902.37723462383,247895.0308436921,248048.61236465239,224641.9921180103,224641.9921180103,224795.66270489671,224668.66325325985,224668.66325325985,224813.00148704997,224808.09966111803,224711.60011388757,204763.03758245581,204763.03758245581,204822.0965314217,204777.89658867562,204930.91648696008,204831.8346326091,204828.34277974904,204951.52475636645,187422.26216248094,187422.26216248094,187453.35573824879,187431.01458402225,187491.28718575696,187458.7491655568,187608.13513692757,187502.2580007294,172070.18940964201,172220.96449394006,172088.72304306715,172226.19851272431,172107.88518068078,172242.22310911363,172150.51461627265,172264.5555129319
4,8.0,270.0,0.07,0.52200295020485121,0.74948472235655961,-0.15143621873643787,0.13247437282417743,18.092275440063311,1.0320706932572834,21671246.308336094,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,437780.73983929004,437780.73983929004,437780.73983929004,437780.73983929004,437780.73983929004,437956.64553056139,437956.64553056139,437956.64553056139,329905.01491179306,329905.01491179306,329905.01491179306,329905.01491179306,329905.01491179306,329948.12828076002,329948.12828076002,329948.12828076002,263570.48744373641,263570.48744373641,263570.48744373641,263570.48744373641,263570.48744373641,263787.17698929657,263748.68505067046,263748.68505067046,223892.24373350065,223892.24373350065,223892.24373350065,224063.41081545691,224063.41081545691,223967.92229533594,223950.61656662746,223950.61656662746,192409.03581994702,192409.03581994702,192409.03581994702,192468.93751504034,192468.93751504034,192443.8387818218,192433.84909662133,192605.41101934007,166466.46163802608,166466.46163802608,166637.10714701598,166494.71111576201,166494.71111576201,166654.59299994222,166648.13976190827,166540.31603575766,147516.9249240366,147516.9249240366,147561.02306628911,147527.08510384068,147642.50726976863,147567.0213464202,147563.98199621911,147656.42040579062,134585.17806517772,134585.17806517772,134607.45926938028,134590.68650898113,134635.11160999525,134610.13643960215,134722.06364482926,134641.6935305458,123275.37476944059,123388.08908990261,123288.01308895327,123390.99482210531,123301.22685022686,123401.4391730663,123331.95787290034,123416.78908361963
5,8.0,270.0,0.07,0.39422708135404788,0.69508951384477891,-0.12899143964364973,0.12150833449434729,19.19270736171579,0.98661150636156814,13848552.314225705,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,326062.30753705616,326062.30753705616,326062.30753705616,326062.30753705616,326062.30753705616,326273.49558300438,326273.49558300438,326273.49558300438,197857.76029813074,197857.76029813074,197857.76029813074,197857.76029813074,197857.76029813074,197894.11346365022,197894.11346365022,197894.11346365022,133825.89299706195,133825.89299706195,133825.89299706195,133825.89299706195,133825.89299706195,134028.15039796123,133966.29667925616,133966.29667925616,98626.731891955948,98626.731891955948,98626.731891955948,98761.280512438767,98761.280512438767,98695.71157086009,98669.777588870915,98669.777588870915,72258.873639259604,72258.873639259604,72258.873639259604,72305.044842686984,72305.044842686984,72285.844081607531,72272.625727891922,72405.167877319327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106914.3842226743,106914.3842226743,106990.96608446068,106926.06411406625,107002.63601293726,106995.28459369121,106989.25449061154,107020.15686266265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106178.24329052807,106244.93993277944,106206.0110237591,106247.1422238118,106208.21413965774,106269.55814140729,106266.64233681152,106277.02891899302
6,8.0,270.0,0.07,0.26111948887288267,0.934389876732312,-0.10871455250923957,0.10738421560467071,18.055141809246486,0.93660949528366866,9086329.2875181325,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,218696.99337906583,218696.99337906583,218696.99337906583,218696.99337906583,218696.99337906583,218808.53434250242,218808.53434250242,218808.53434250242,83726.208176495405,83726.208176495405,83726.208176495405,83726.208176495405,83726.208176495405,83751.911639928032,83751.911639928032,83751.911639928032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68429.283932511025,68429.283932511025,68429.283932511025,68505.191166316887,68505.191166316887,68607.188557570582,68506.629330451906,68506.629330451906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75784.138418256611,75784.138418256611,75836.876495377757,75801.52200430847,75854.251084972173,75881.553243582282,75849.209755052463,75901.914207408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,270.0,0.07,0.48214503296963473,0.64847048658167106,-0.14353798027118303,0.16643416799763683,17.156358716709789,1.0978605439959916,18909249.962794263,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,406300.69474785362,406300.69474785362,406300.69474785362,406300.69474785362,406300.69474785362,406492.54587693751,406492.54587693751,406492.54587693751,283266.06630937767,283266.06630937767,283266.06630937767,283266.06630937767,283266.06630937767,283311.96332038031,283311.96332038031,283311.96332038031,223795.77882084867,223795.77882084867,223795.77882084867,223795.77882084867,223795.77882084867,224037.5277148445,223986.79862173653,223986.79862173653,180194.99349220269,180194.99349220269,180194.99349220269,180378.42199279999,180378.42199279999,180278.29372326584,180255.98124414319,180255.98124414319,148587.63824541564,148587.63824541564,148587.63824541564,148630.95931430958,148630.95931430958,148612.7052318026,148604.17038973392,148729.01210227615,129623.29905103997,129623.29905103997,129746.87194234718,129642.89210216518,129642.89210216518,129758.60407946317,129753.27057111714,129674.74939339087,113762.40990384956,113762.40990384956,113808.54715197528,113772.11062695156,113894.010337211,113813.72458321889,113810.17088447488,113907.20841818878,100208.66163654099,100208.66163654099,100231.25907731519,100213.47280310735,100260.17911487498,100232.89794936241,100350.49144312541,100265.64671444945,88426.648429479275,88544.854831351346,88438.946546602296,88546.994648202512,88452.304973404534,88556.759175945772,88483.755424432209,88572.147766793641
8,8.0,270.0,0.07,0.25772334214718073,0.94733601476260654,-0.10236305053562242,0.11988248327332383,16.345223611014685,0.91694426454200184,9051000.0050890408,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,205520.79752153327,205520.79752153327,205520.79752153327,205520.79752153327,205520.79752153327,205618.6776088723,205618.6776088723,205618.6776088723,68357.212957483905,68357.212957483905,68357.212957483905,68357.212957483905,68357.212957483905,68382.134415187349,68382.134415187349,68382.134415187349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82300.455082243032,82300.455082243032,82300.455082243032,82355.962534347316,82355.962534347316,82448.669733122762,82355.271550016289,82410.749904107739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86047.081261637941,86086.3327421297,86086.3327421297,86099.070843087626,86099.070843087626,86163.242266278496,86133.007897776479,86145.739705797663
9,8.0,270.0,0.07,0.57955784022310408,0.83569773198479924,-0.092970541522376632,0.1843623968797074,17.060418172734892,0.97008606898457994,27823664.743198253,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,688989.9571021474,503588.23047324677,503588.23047324677,503588.23047324677,503588.23047324677,503588.23047324677,503771.8540698447,503771.8540698447,503771.8540698447,412715.54268509889,412715.54268509889,412715.54268509889,412715.54268509889,412715.54268509889,412751.60148419399,412751.60148419399,412751.60148419399,356192.26557173167,356192.26557173167,356192.26557173167,356192.26557173167,356192.26557173167,356424.02836006659,356394.72011457721,356394.72011457721,312527.99043090234,312527.99043090234,312527.99043090234,312722.56551436067,312722.56551436067,312612.39904801385,312598.57098782563,312598.57098782563,278396.75612054928,278396.75612054928,278396.75612054928,278447.58931361808,278447.58931361808,278426.99891788402,278420.94386361918,278562.68865196535,256881.79399761272,256881.79399761272,257024.11853920511,256907.45112164289,256907.45112164289,257041.03213701287,257036.92296942597,256948.06562360306,238355.34777508042,238355.34777508042,238410.72220775799,238370.10313295116,238512.25625528424,238420.6900768902,238417.71429989033,238532.42319395009,222104.06123845928,222104.06123845928,222133.80293385603,222113.10792396445,222169.75447985443,222139.74228465656,222279.06511115725,222180.99820373708,207644.06904724069,207784.85992708511,207662.20687998977,207790.5701751397,207680.86217358246,207806.42222046413,207721.3896961904,207828.12795342488
