3                    NumBlade:    Number of blades.
45                   BladeLength:     
1.5                  HubRad:     Hub radius 
0.0                  PreCone:    Precone angle positive downwind deg.
0.0                  Tilt: (Shouldbe 2)      Shaft tilt deg.65
0.0                  Yaw:        Yaw error deg. (useless)
65.0                 HubHt:      Hub height 
30                   NumSeg:     Number of blade segments
15.947               RotSpeed
2300                 Prated kW
# SPECS 
4.00     6.77692016  -1.5       
4.25     7.20047767  -1.5       
4.50     7.62403518  -1.5       
4.75     8.04759269  -1.5       
5.00     8.4711502   -1.5       
5.25     8.89470771  -1.5       
5.50     9.31826522  -1.5       
5.75     9.74182273  -1.5       
6.00     10.16538024  -1.5       
6.25     10.58893775  -1.5       
6.50     11.01249526  -1.5       
6.75     11.43605277  -1.5       
7.00     11.85961028  -1.5       
7.25     12.28316779  -1.5       
7.50     12.7067253   -1.5       
7.75     13.13028281  -1.5       
8.00     13.55384031  -1.5       
8.25     13.97739782  -1.5       
8.50     14.40095533  -1.5       
8.75     14.82451284  -1.5       
9.00     15.24807035  -1.5       
9.25     15.67162786  -1.5       
9.50     15.947       -1.5       
9.75     15.947       -1.5       
10.00     15.947       -1.5       
10.25     15.947       -1.5       
10.50     15.947       -1.5       
10.75     15.947       -1.5       
11.00     15.947        1.20448849
11.25     15.947        2.47250561
11.50     15.947        3.42626409
11.75     15.947        4.25016791
12.00     15.947        4.99108715
12.25     15.947        5.66961967
12.50     15.947        6.29923152
12.75     15.947        6.89076581
13.00     15.947        7.45191567
13.25     15.947        7.98823228
13.50     15.947        8.50364739
13.75     15.947        9.00097951
14.00     15.947        9.48220989
14.25     15.947        9.94911337
14.50     15.947       10.40290607
14.75     15.947       10.84508107
15.00     15.947       11.27648448
15.25     15.947       11.69808982
15.50     15.947       12.11066831
15.75     15.947       12.51511524
16.00     15.947       12.91195496
16.25     15.947       13.30163338
16.50     15.947       13.6847893 
16.75     15.947       14.06181858
17.00     15.947       14.4332778 
17.25     15.947       14.79949631
17.50     15.947       15.16041755
17.75     15.947       15.5165319 
18.00     15.947       15.86793277
18.25     15.947       16.21500877
18.50     15.947       16.55606561
18.75     15.947       16.893017  
19.00     15.947       17.22621927
19.25     15.947       17.55614276
19.50     15.947       17.88265862
19.75     15.947       18.20580651
20.00     15.947       18.52604004
20.25     15.947       18.84318651
20.50     15.947       19.15719251
20.75     15.947       19.46857929
21.00     15.947       19.77719174
21.25     15.947       20.08297159
21.50     15.947       20.38605063
21.75     15.947       20.68670497
22.00     15.947       20.98503649
22.25     15.947       21.28094783
22.50     15.947       21.57444652
22.75     15.947       21.8656929 
23.00     15.947       22.15477889
23.25     15.947       22.44179025
23.50     15.947       22.72630348
23.75     15.947       23.00883895
24.00     15.947       23.28906478
24.25     15.947       23.56726957
24.50     15.947       23.84347192
24.75     15.947       24.11767314
25.00     15.947       24.38993115
