3                    NumBlade:    Number of blades.
61.5                 BladeLength:     
1.5                  HubRad:     Hub radius 
0.0                  PreCone:    Precone angle positive downwind [deg].
5.0                  Tilt: (Shouldbe 2)      Shaft tilt [deg].
2.5                 Yaw:        Yaw error [deg]. (useless)
90.0                 HubHt:      Hub height 
30                   NumSeg:     Number of blade segments
12.12609                   RotSpeed
5000                 Prated kW
# SPECS
3.00000   7.04829   1.56337
3.25000   7.63565   1.56337   
3.50000   8.22301   1.56337   
3.75000   8.81036   1.56337   
4.00000   9.39772   1.56337   
4.25000   9.98508   1.56337   
4.50000  10.57244   1.56337   
4.75000  11.15979   1.56337   
5.00000  11.74715   1.56337   
5.25000  12.12609   1.58211   
5.50000  12.12609   1.59236   
5.75000  12.12609   1.58709   
6.00000  12.12609   1.56053   
6.25000  12.12609   1.51311   
6.50000  12.12609   1.43588   
6.75000  12.12609   1.35194   
7.00000  12.12609   1.25059   
7.25000  12.12609   1.13299   
7.50000  12.12609   1.02827   
7.75000  12.12609   0.90745   
8.00000  12.12609   0.77643   
8.25000  12.12609   0.63127   
8.50000  12.12609   0.46517   
8.75000  12.12609   0.29050   
9.00000  12.12609   0.13174   
9.25000  12.12609  -0.03189   
9.50000  12.12609  -0.22184   
9.75000  12.12609  -0.39452  
10.00000  12.12609  -0.54040  
10.25000  12.12609  -0.64156  
10.50000  12.12609  -0.86705  
10.75000  12.12609  -0.72140  
11.00000  12.12609  -0.71000  
11.25000  12.12609   1.73053  
11.50000  12.12609   2.93759  
11.75000  12.12609   3.85306  
12.00000  12.12609   4.62751  
12.25000  12.12609   5.31598  
12.50000  12.12609   5.94562  
12.75000  12.12609   6.53096  
13.00000  12.12609   7.08167  
13.25000  12.12609   7.60409  
13.50000  12.12609   8.10286  
13.75000  12.12609   8.58190  
14.00000  12.12609   9.04418  
14.25000  12.12609   9.49171  
14.50000  12.12609   9.92619  
14.75000  12.12609  10.34906  
15.00000  12.12609  10.76155  
15.25000  12.12609  11.16474  
15.50000  12.12609  11.55914  
15.75000  12.12609  11.94548  
16.00000  12.12609  12.32421  
16.25000  12.12609  12.69608  
16.50000  12.12609  13.06161  
16.75000  12.12609  13.42133  
17.00000  12.12609  13.77515  
17.25000  12.12609  14.12370  
17.50000  12.12609  14.46657  
17.75000  12.12609  14.80385  
18.00000  12.12609  15.13597  
18.25000  12.12609  15.46366  
18.50000  12.12609  15.78701  
18.75000  12.12609  16.10665  
19.00000  12.12609  16.42307  
19.25000  12.12609  16.73636  
19.50000  12.12609  17.04735  
19.75000  12.12609  17.35556  
20.00000  12.12609  17.66175  
20.25000  12.12609  17.96620  
20.50000  12.12609  18.26824  
20.75000  12.12609  18.56806  
21.00000  12.12609  18.86538  
21.25000  12.12609  19.16029  
21.50000  12.12609  19.45279  
21.75000  12.12609  19.74229  
22.00000  12.12609  20.02917  
22.25000  12.12609  20.31356  
22.50000  12.12609  20.59484  
22.75000  12.12609  20.87386  
23.00000  12.12609  21.14957  
23.25000  12.12609  21.42381  
23.50000  12.12609  21.69589  
23.75000  12.12609  21.96535  
24.00000  12.12609  22.23345  
24.25000  12.12609  22.49978  
24.50000  12.12609  22.76395  
24.75000  12.12609  23.02650  
25.00000  12.12609  23.28751
