mean,mean,mean
8.639,13.69,1061.6
9.26,13.23,1045.7
9.365,16.91,1066.5
9.246,18.1,1358.1
9.211,14.46,1358
9.365,17.77,1340.4
9.144,7.9,855.48
9.25,7.78,1183.8
9.188,6.59,1125.2
9.463,4.92,800.43
9.394,6.51,744.31
9.251,9.01,881.7
9.132,11.08,1065
9.45,13.26,1342.1
8.94,13.27,1009.4
8.755,12.33,950.72
8.917,10.59,912.78
9.153,10.7,897.12
9.135,21.9,1141.4
8.774,22.13,934.91
8.637,21.85,1068.2
8.603,14.6,1125.5
8.624,15.25,1125.3
8.918,18.75,1217
8.544,96.71,879.27
9.019,73.14,697.27
8.518,80.69,864.03
8.673,97.14,1218.8
8.893,99.7,1541.5
9.192,104,1408.6
9.166,103.8,1332.7
9.116,102.9,1345.3
8.977,99.52,1145.2
9.454,104.4,1348.3
9.256,103.7,1508.2
9.033,104.4,1490.2
8.833,107.8,1292.8
9.083,106.7,1282.1
8.982,105.5,1298
9.395,104.2,1490.9
9.311,99.78,1549.2
9.417,103.8,1905.1
8.951,95.13,1386.4
8.924,98.26,1120.9
9.499,208.3,1557.6
9.276,208,1455.3
9.173,215.1,1424.3
8.536,204.4,1098.8
9.18,210,1407
8.878,203.9,1253.9
9.023,204,1332.1
8.901,202.1,1269.7
8.831,201.1,1204.6
9.195,199.4,1409.3
9.098,194.2,1382
8.988,184.8,1300.4
8.914,181.6,1273.5
9.109,183.1,1372.7
9.155,186.4,1406.3
8.691,182.3,1163.1
8.755,187.7,1180.1
9.383,167.6,1937.3
8.915,167.3,1531.8
8.762,165.5,1541
9.244,169,2096.5
8.98,169.3,1847.2
8.71,167.5,1590.9
8.647,179.1,1919.9
9.23,238.4,1435.6
8.769,234.8,1238.2
8.976,233.8,1254.5
9.002,231.1,1283.3
9.199,227.7,1427.2
9.273,228.6,1517.6
9.042,227.2,1344.2
8.861,222.4,1294.8
9.281,222.3,1413.2
8.583,216.9,1140.2
8.61,220.7,1140.8
8.787,180.3,1247.5
8.984,185.2,1309.8
9.028,184.9,1342.2
9.229,198.2,1464.8
8.696,195.7,1217.2
9.204,194.4,1417
9.166,180.9,1443.8
8.836,174.8,1374
9.2,174.8,1797.5
9.153,174.8,1568.8
9.237,173.3,1618.3
9.129,171.9,1441.3
8.674,174.3,1101
8.963,175.1,1328.9
8.673,173.4,1408.2
